week,disease_id,total_cases,severe_cases,hospitals_observed,severe_hospitals,average_severe_proportion,maximum_severe_proportion,average_severity_score,maximum_severity_score,previous_severe_cases,previous_total_cases,previous_severe_proportion,severe_case_growth,severe_proportion_change,previous_severe_growth,severe_growth_acceleration,severity_burden_score,severity_alert,severity_signal
2026-06-01,D001,1830,137,10,10,0.0752802376543604,0.11811023622047244,76.93723698806893,83.23176202603375,0.0,0.0,0.0,1.0,0.0752802376543604,0.0,1.0,78.17404158951307,RED,True
2026-06-08,D001,1765,147,10,10,0.08272120964754807,0.11794871794871795,36.52365180478315,50.68325684541399,137.0,1830.0,0.0752802376543604,0.072992700729927,0.0074409719931876755,1.0,-0.927007299270073,36.30102920656908,YELLOW,True
2026-06-15,D001,1691,146,10,10,0.08761598510566584,0.12138728323699421,42.41726588324566,58.005636636044166,147.0,1765.0,0.08272120964754807,-0.006802721088435374,0.00489477545811777,0.072992700729927,-0.07979542181836237,35.33279739349152,YELLOW,True
2026-06-22,D001,1834,144,10,10,0.07755896876248967,0.09142857142857143,43.43022532400394,62.75247798017615,146.0,1691.0,0.08761598510566584,-0.0136986301369863,-0.01005701634317617,-0.006802721088435374,-0.006895909048550927,33.57281953343569,GREEN,False
2026-06-29,D001,1796,137,10,10,0.07628401511538177,0.1256544502617801,43.06543332522034,73.51962616500164,144.0,1834.0,0.07755896876248967,-0.04861111111111111,-0.0012749536471079043,-0.0136986301369863,-0.03491248097412481,33.34970264519181,GREEN,False
2026-07-06,D001,1723,133,10,10,0.07735525283510251,0.10638297872340426,42.5365860678544,65.4472585489931,137.0,1796.0,0.07628401511538177,-0.029197080291970802,0.001071237719720744,-0.04861111111111111,0.01941403081914031,34.31373047890855,GREEN,False
2026-07-13,D001,1817,139,10,10,0.07762457734952981,0.11515151515151516,44.88637110483793,81.89338951612935,133.0,1723.0,0.07735525283510251,0.045112781954887216,0.00026932451442729377,-0.029197080291970802,0.07430986224685801,37.684515074914216,YELLOW,True
2026-07-20,D001,1731,134,10,10,0.07927104613694072,0.1144578313253012,43.61218914704329,68.55527622498232,139.0,1817.0,0.07762457734952981,-0.03597122302158273,0.0016464687874109124,0.045112781954887216,-0.08108400497646995,33.87243307396462,GREEN,False
2026-07-27,D001,1753,149,10,10,0.08680011693625986,0.12931034482758622,44.46297931847853,85.38266888333962,134.0,1731.0,0.07927104613694072,0.11194029850746269,0.0075290707993191375,-0.03597122302158273,0.1479115215290454,43.90498878769385,YELLOW,True
2026-08-03,D001,1760,130,10,10,0.07253183050597607,0.11,46.015315371232674,80.20498735855793,149.0,1753.0,0.08680011693625986,-0.12751677852348994,-0.014268286430283786,0.11194029850746269,-0.23945707703095265,32.69307033854581,GREEN,False
2026-08-10,D001,1734,131,10,10,0.07648750604069587,0.11864406779661017,49.565263108247066,83.06128827346575,130.0,1760.0,0.07253183050597607,0.007692307692307693,0.003955675534719802,-0.12751677852348994,0.13520908621579764,38.98598469806137,YELLOW,True
2026-08-17,D001,1779,142,10,10,0.08140696540372286,0.125,46.52481026090122,67.2407899990632,131.0,1734.0,0.07648750604069587,0.08396946564885496,0.0049194593630269845,0.007692307692307693,0.07627715795654727,39.39654190513477,YELLOW,True
2026-08-24,D001,1460,106,10,10,0.07093322718221508,0.12658227848101267,33.8041638039334,71.21365481174038,142.0,1779.0,0.08140696540372286,-0.2535211267605634,-0.01047373822150778,0.08396946564885496,-0.33749059240941837,32.41331475688764,GREEN,False
2026-06-01,D002,1154,101,10,10,0.08804365256383756,0.12686567164179105,77.57383721134161,84.95668774927083,0.0,0.0,0.0,1.0,0.08804365256383756,0.0,1.0,80.40763919867157,RED,True
2026-06-08,D002,1068,99,10,10,0.0952736729436805,0.14457831325301204,37.4874287015209,69.09047996817912,101.0,1154.0,0.08804365256383756,-0.019801980198019802,0.0072300203798429385,1.0,-1.0198019801980198,36.672892765144084,YELLOW,True
2026-06-15,D002,1111,98,10,10,0.08587846656205797,0.13333333333333333,46.68494535010469,85.69223801835018,99.0,1068.0,0.0952736729436805,-0.010101010101010102,-0.009395206381622528,-0.019801980198019802,0.0097009700970097,35.416770452240534,YELLOW,True
2026-06-22,D002,1118,89,10,10,0.0818110789406107,0.1111111111111111,48.349867802370014,79.49799074797394,98.0,1111.0,0.08587846656205797,-0.09183673469387756,-0.004067387621447274,-0.010101010101010102,-0.08173572459286746,34.31693881460687,GREEN,False
2026-06-29,D002,1146,99,10,10,0.08508241335678349,0.12121212121212122,45.27391469662166,82.46512557416737,89.0,1118.0,0.0818110789406107,0.11235955056179775,0.0032713344161727914,-0.09183673469387756,0.2041962852556753,45.86626251170907,YELLOW,True
2026-07-06,D002,1182,95,10,10,0.08340941570492848,0.14432989690721648,43.386726351426475,72.85832965618985,99.0,1146.0,0.08508241335678349,-0.04040404040404041,-0.00167299765185501,0.11235955056179775,-0.15276359096583816,34.59664774836248,GREEN,False
2026-07-13,D002,1097,103,10,10,0.09313314876067785,0.13333333333333333,48.14675243628304,82.40904088479978,95.0,1182.0,0.08340941570492848,0.08421052631578947,0.009723733055749376,-0.04040404040404041,0.12461456671982987,43.388146859806554,YELLOW,True
2026-07-20,D002,1153,109,10,10,0.09531787209909194,0.13829787234042554,48.55564773399922,85.68539859415993,103.0,1097.0,0.09313314876067785,0.05825242718446602,0.002184723338414088,0.08421052631578947,-0.02595809913132345,38.136938296952735,YELLOW,True
2026-07-27,D002,1145,87,10,10,0.07580744024102079,0.11403508771929824,38.97039523736483,72.75595725958414,109.0,1153.0,0.09531787209909194,-0.2018348623853211,-0.01951043185807115,0.05825242718446602,-0.2600872895697871,33.26630204217864,GREEN,False
2026-08-03,D002,1135,84,10,10,0.07687556494141898,0.14018691588785046,44.40725668621113,86.4802122451989,87.0,1145.0,0.07580744024102079,-0.034482758620689655,0.0010681247003981875,-0.2018348623853211,0.16735210376463144,40.14730801533358,YELLOW,True
2026-08-10,D002,1161,97,10,10,0.08397349455398692,0.12121212121212122,53.32762396307938,82.88105400991536,84.0,1135.0,0.07687556494141898,0.15476190476190477,0.007097929612567944,-0.034482758620689655,0.18924466338259444,46.134195701299106,YELLOW,True
2026-08-17,D002,1042,74,10,10,0.06901983091036451,0.08695652173913043,31.13923888172829,39.64576926971641,97.0,1161.0,0.08397349455398692,-0.23711340206185566,-0.014953663643622411,0.15476190476190477,-0.3918753068237604,32.07847040931379,GREEN,False
2026-08-24,D002,945,68,10,10,0.07182577116466651,0.1095890410958904,43.058283677515625,71.56419602064199,74.0,1042.0,0.06901983091036451,-0.08108108108108109,0.002805940254302003,-0.23711340206185566,0.15603232098077457,38.810802793047614,YELLOW,True
2026-06-01,D003,303,15,10,8,0.04631536852467085,0.11428571428571428,56.43834087456522,77.97095089916444,0.0,0.0,0.0,1.0,0.04631536852467085,0.0,1.0,73.1051894918174,ORANGE,True
2026-06-08,D003,330,20,10,9,0.06034069034069034,0.11428571428571428,41.800026732859244,74.92970392586398,15.0,303.0,0.04631536852467085,0.3333333333333333,0.014025321816019488,1.0,-0.6666666666666667,38.89295414295414,YELLOW,True
2026-06-15,D003,300,11,10,6,0.0340975991633425,0.14285714285714285,28.52592838352617,74.6376175658311,20.0,330.0,0.06034069034069034,-0.45,-0.02624309117734784,0.3333333333333333,-0.7833333333333333,25.967079853584934,GREEN,False
2026-06-22,D003,321,21,10,8,0.06622677860100461,0.2,55.08459330230122,91.01999228393323,11.0,300.0,0.0340975991633425,0.9090909090909091,0.03212917943766211,-0.45,1.3590909090909091,74.31695898244854,ORANGE,True
2026-06-29,D003,311,15,10,10,0.05031272659735657,0.10714285714285714,37.64297748537631,75.93830697530319,21.0,321.0,0.06622677860100461,-0.2857142857142857,-0.015914052003648038,0.9090909090909091,-1.1948051948051948,28.804727154537396,GREEN,False
2026-07-06,D003,312,15,10,6,0.042218438538205984,0.125,37.29710822741943,80.31669286251426,15.0,311.0,0.05031272659735657,0.0,-0.008094288059150585,-0.2857142857142857,0.2857142857142857,38.81679817275747,YELLOW,True
2026-07-13,D003,332,16,10,9,0.04694103672247689,0.08823529411764706,37.67455587290648,73.31015970383632,15.0,312.0,0.042218438538205984,0.06666666666666667,0.0047225981842709056,0.0,0.06666666666666667,32.54801475976679,GREEN,False
2026-07-20,D003,333,18,10,8,0.056089085471648516,0.13333333333333333,42.97544164672936,76.68172713731568,16.0,332.0,0.04694103672247689,0.125,0.009148048749171626,0.06666666666666667,0.058333333333333334,35.27392329087183,YELLOW,True
2026-07-27,D003,300,15,10,9,0.051344792368425284,0.09090909090909091,38.08167861797875,72.97095089916444,18.0,333.0,0.056089085471648516,-0.16666666666666666,-0.004744293103223232,0.125,-0.29166666666666663,28.985338664474426,GREEN,False
2026-08-03,D003,333,13,10,9,0.04191853919293391,0.08333333333333333,35.56055883828207,71.23441736328431,15.0,300.0,0.051344792368425284,-0.13333333333333333,-0.009426253175491374,-0.16666666666666666,0.033333333333333326,28.669077692096767,GREEN,False
2026-08-10,D003,321,14,10,8,0.04482452228368744,0.07692307692307693,44.24069517385798,70.39119165852037,13.0,333.0,0.04191853919293391,0.07692307692307693,0.0029059830907535306,-0.13333333333333333,0.21025641025641026,38.177624732978636,YELLOW,True
2026-08-17,D003,311,11,10,5,0.03346296296296296,0.08,26.01949101898141,67.79234679815104,14.0,321.0,0.04482452228368744,-0.21428571428571427,-0.011361559320724482,0.07692307692307693,-0.2912087912087912,25.856018518518518,GREEN,False
2026-08-24,D003,267,14,10,6,0.05686974789915966,0.2,47.12697436976459,91.01999228393323,11.0,311.0,0.03346296296296296,0.2727272727272727,0.023406784936196703,-0.21428571428571427,0.487012987012987,56.250907181054245,ORANGE,True
2026-06-01,D004,2182,75,10,10,0.03488124110594211,0.04743083003952569,70.44114144174638,73.300395256917,0.0,0.0,0.0,1.0,0.03488124110594211,0.0,1.0,71.10421719353987,ORANGE,True
2026-06-08,D004,2260,73,10,10,0.03320098387389884,0.050359712230215826,28.559254988691446,39.19834953995337,75.0,2182.0,0.03488124110594211,-0.02666666666666667,-0.001680257232043271,1.0,-1.0266666666666666,25.810172177932294,GREEN,False
2026-06-15,D004,2204,63,10,10,0.029353494206958913,0.04419889502762431,31.17984463349117,71.57129567210453,73.0,2260.0,0.03320098387389884,-0.136986301369863,-0.003847489666939926,-0.02666666666666667,-0.11031963470319633,25.13686148621781,GREEN,False
2026-06-22,D004,2243,89,10,10,0.039872455034285145,0.07111111111111111,49.14963622563868,77.06468212987849,63.0,2204.0,0.029353494206958913,0.4126984126984127,0.010518960827326233,-0.136986301369863,0.5496847140682757,57.29513994846022,ORANGE,True
2026-06-29,D004,2176,71,10,10,0.032562962953404745,0.05454545454545454,31.228096041444747,68.048870807144,89.0,2243.0,0.039872455034285145,-0.20224719101123595,-0.0073094920808804,0.4126984126984127,-0.6149456037096486,25.69851851684583,GREEN,False
