week,hospital_id,case_count,previous_cases,growth_rate,alert_level
2026-06-01,H001,1065,,,GREEN
2026-06-08,H001,1064,1065.0,-0.0009389671361502347,GREEN
2026-06-15,H001,1062,1064.0,-0.0018796992481203006,GREEN
2026-06-22,H001,1068,1062.0,0.005649717514124294,GREEN
2026-06-29,H001,1084,1068.0,0.0149812734082397,GREEN
2026-07-06,H001,1050,1084.0,-0.03136531365313653,GREEN
2026-07-13,H001,1087,1050.0,0.035238095238095235,GREEN
2026-07-20,H001,1118,1087.0,0.028518859245630176,GREEN
2026-07-27,H001,1105,1118.0,-0.011627906976744186,GREEN
2026-08-03,H001,1131,1105.0,0.023529411764705882,GREEN
2026-08-10,H001,1090,1131.0,-0.036251105216622455,GREEN
2026-08-17,H001,1091,1090.0,0.0009174311926605505,GREEN
2026-08-24,H001,954,1091.0,-0.12557286892758937,GREEN
2026-06-01,H002,879,,,GREEN
2026-06-08,H002,885,879.0,0.006825938566552901,GREEN
2026-06-15,H002,900,885.0,0.01694915254237288,GREEN
2026-06-22,H002,888,900.0,-0.013333333333333334,GREEN
2026-06-29,H002,863,888.0,-0.028153153153153154,GREEN
2026-07-06,H002,859,863.0,-0.004634994206257242,GREEN
2026-07-13,H002,886,859.0,0.03143189755529686,GREEN
2026-07-20,H002,872,886.0,-0.01580135440180587,GREEN
2026-07-27,H002,904,872.0,0.03669724770642202,GREEN
2026-08-03,H002,875,904.0,-0.032079646017699116,GREEN
2026-08-10,H002,915,875.0,0.045714285714285714,GREEN
2026-08-17,H002,875,915.0,-0.04371584699453552,GREEN
2026-08-24,H002,742,875.0,-0.152,GREEN
2026-06-01,H003,1070,,,GREEN
2026-06-08,H003,1069,1070.0,-0.0009345794392523365,GREEN
2026-06-15,H003,1061,1069.0,-0.007483629560336763,GREEN
2026-06-22,H003,1095,1061.0,0.03204524033930255,GREEN
2026-06-29,H003,1055,1095.0,-0.0365296803652968,GREEN
2026-07-06,H003,1075,1055.0,0.018957345971563982,GREEN
2026-07-13,H003,1063,1075.0,-0.011162790697674419,GREEN
2026-07-20,H003,1085,1063.0,0.020696142991533398,GREEN
2026-07-27,H003,1076,1085.0,-0.008294930875576038,GREEN
2026-08-03,H003,1071,1076.0,-0.004646840148698885,GREEN
2026-08-10,H003,1080,1071.0,0.008403361344537815,GREEN
2026-08-17,H003,1106,1080.0,0.024074074074074074,GREEN
2026-08-24,H003,954,1106.0,-0.13743218806509946,GREEN
2026-06-01,H004,1036,,,GREEN
2026-06-08,H004,1047,1036.0,0.010617760617760617,GREEN
2026-06-15,H004,1036,1047.0,-0.010506208213944603,GREEN
2026-06-22,H004,1022,1036.0,-0.013513513513513514,GREEN
2026-06-29,H004,994,1022.0,-0.0273972602739726,GREEN
2026-07-06,H004,970,994.0,-0.02414486921529175,GREEN
2026-07-13,H004,1041,970.0,0.0731958762886598,GREEN
2026-07-20,H004,1041,1041.0,0.0,GREEN
2026-07-27,H004,1006,1041.0,-0.03362151777137368,GREEN
2026-08-03,H004,983,1006.0,-0.02286282306163022,GREEN
2026-08-10,H004,1020,983.0,0.03763987792472025,GREEN
2026-08-17,H004,1002,1020.0,-0.01764705882352941,GREEN
2026-08-24,H004,863,1002.0,-0.13872255489021956,GREEN
2026-06-01,H005,936,,,GREEN
2026-06-08,H005,939,936.0,0.003205128205128205,GREEN
2026-06-15,H005,925,939.0,-0.014909478168264111,GREEN
2026-06-22,H005,946,925.0,0.022702702702702703,GREEN
2026-06-29,H005,933,946.0,-0.013742071881606765,GREEN
2026-07-06,H005,944,933.0,0.011789924973204717,GREEN
2026-07-13,H005,961,944.0,0.018008474576271187,GREEN
2026-07-20,H005,953,961.0,-0.008324661810613945,GREEN
2026-07-27,H005,959,953.0,0.0062959076600209865,GREEN
2026-08-03,H005,960,959.0,0.0010427528675703858,GREEN
2026-08-10,H005,980,960.0,0.020833333333333332,GREEN
2026-08-17,H005,975,980.0,-0.00510204081632653,GREEN
2026-08-24,H005,820,975.0,-0.15897435897435896,GREEN
2026-06-01,H006,754,,,GREEN
2026-06-08,H006,745,754.0,-0.011936339522546418,GREEN
2026-06-15,H006,745,745.0,0.0,GREEN
2026-06-22,H006,772,745.0,0.036241610738255034,GREEN
2026-06-29,H006,759,772.0,-0.01683937823834197,GREEN
2026-07-06,H006,765,759.0,0.007905138339920948,GREEN
2026-07-13,H006,735,765.0,-0.0392156862745098,GREEN
2026-07-20,H006,755,735.0,0.027210884353741496,GREEN
2026-07-27,H006,762,755.0,0.009271523178807948,GREEN
2026-08-03,H006,760,762.0,-0.0026246719160104987,GREEN
2026-08-10,H006,757,760.0,-0.003947368421052632,GREEN
2026-08-17,H006,741,757.0,-0.021136063408190225,GREEN
2026-08-24,H006,647,741.0,-0.12685560053981107,GREEN
2026-06-01,H007,668,,,GREEN
2026-06-08,H007,672,668.0,0.005988023952095809,GREEN
2026-06-15,H007,665,672.0,-0.010416666666666666,GREEN
2026-06-22,H007,655,665.0,-0.015037593984962405,GREEN
2026-06-29,H007,663,655.0,0.012213740458015267,GREEN
2026-07-06,H007,658,663.0,-0.007541478129713424,GREEN
2026-07-13,H007,669,658.0,0.016717325227963525,GREEN
2026-07-20,H007,668,669.0,-0.0014947683109118087,GREEN
2026-07-27,H007,663,668.0,-0.0074850299401197605,GREEN
2026-08-03,H007,662,663.0,-0.0015082956259426848,GREEN
2026-08-10,H007,669,662.0,0.010574018126888218,GREEN
2026-08-17,H007,656,669.0,-0.01943198804185351,GREEN
2026-08-24,H007,538,656.0,-0.1798780487804878,GREEN
2026-06-01,H008,784,,,GREEN
2026-06-08,H008,749,784.0,-0.044642857142857144,GREEN
2026-06-15,H008,762,749.0,0.017356475300400534,GREEN
2026-06-22,H008,791,762.0,0.03805774278215223,GREEN
2026-06-29,H008,798,791.0,0.008849557522123894,GREEN
2026-07-06,H008,801,798.0,0.0037593984962406013,GREEN
2026-07-13,H008,771,801.0,-0.03745318352059925,GREEN
2026-07-20,H008,777,771.0,0.007782101167315175,GREEN
2026-07-27,H008,814,777.0,0.047619047619047616,GREEN
2026-08-03,H008,818,814.0,0.004914004914004914,GREEN
2026-08-10,H008,780,818.0,-0.04645476772616137,GREEN
2026-08-17,H008,768,780.0,-0.015384615384615385,GREEN
2026-08-24,H008,657,768.0,-0.14453125,GREEN
2026-06-01,H009,614,,,GREEN
2026-06-08,H009,627,614.0,0.021172638436482084,GREEN
2026-06-15,H009,624,627.0,-0.004784688995215311,GREEN
2026-06-22,H009,676,624.0,0.08333333333333333,GREEN
2026-06-29,H009,634,676.0,-0.0621301775147929,GREEN
2026-07-06,H009,615,634.0,-0.02996845425867508,GREEN
2026-07-13,H009,632,615.0,0.027642276422764227,GREEN
2026-07-20,H009,664,632.0,0.05063291139240506,GREEN
2026-07-27,H009,606,664.0,-0.08734939759036145,GREEN
2026-08-03,H009,641,606.0,0.057755775577557754,GREEN
2026-08-10,H009,646,641.0,0.0078003120124804995,GREEN
2026-08-17,H009,609,646.0,-0.05727554179566564,GREEN
2026-08-24,H009,529,609.0,-0.13136288998357964,GREEN
