week,symptom_id,symptom_name,baseline_score,baseline_z_max,baseline_deviation_max,baseline_hospitals_elevated,baseline_hospitals_observed,anomaly_score,temporal_score,persistence_score,spatial_score,best_matching_disease_id,b8_pattern_score,objective_a_score,b8_integration_score,severity_score,severe_cases,total_cases,disease_total_cases,raw_risk_score,risk_score,strong_evidence_count,moderate_evidence_count,persistence_support,spatial_support,temporal_support,risk_alert,outbreak_signal,risk_explanation
2026-06-01,S007,Persistent Cough,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D006,47.236000000000004,42.56,54.25,91.18837672643,40.0,269.0,269.0,22.9018565089645,22.9,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (91.2)."
2026-06-01,S023,Weight Loss,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D006,47.236000000000004,42.56,54.25,91.18837672643,40.0,269.0,269.0,22.9018565089645,22.9,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (91.2)."
2026-06-01,S024,Night Sweats,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D006,47.236000000000004,42.56,54.25,91.18837672643,40.0,269.0,269.0,22.9018565089645,22.9,1,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.9, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (47.2); severity burden from disease D006 (91.2)."
2026-06-01,S001,Fever,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2)."
2026-06-01,S002,Headache,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2)."
2026-06-01,S014,Muscle Pain,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2)."
2026-06-01,S017,Rash,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2)."
2026-06-01,S018,Nausea,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2)."
2026-06-01,S019,Vomiting,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D001,57.378,51.15,66.72,83.23176202603375,137.0,1830.0,1830.0,22.72256430390506,22.72,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.7, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (57.4); severity burden from disease D001 (83.2)."
2026-06-01,S003,Fatigue,0.0,0.0,0.0,0,10,30.0,0.0,0.0,0.0,D005,55.126000000000005,53.05,58.24,83.03071689317758,112.0,1375.0,1375.0,22.467207533976637,22.47,2,2,False,False,False,GREEN,False,"Composite outbreak-risk score is 22.5, producing a GREEN alert. Supporting evidence: Objective A atypical/emerging evidence (55.1); severity burden from disease D005 (83.0)."
