week,hospital_id,disease_id,total_cases,severe_cases,severe_case_proportion,previous_total_cases,previous_severe_cases,previous_severe_proportion,severe_case_growth,severe_proportion_change,previous_severe_growth,severe_growth_acceleration,severity_burden_score,severity_alert,severity_signal
2026-06-01,H001,D001,190,14,0.07368421052631578,0.0,0.0,0.0,1.0,0.07368421052631578,0.0,1.0,76.90593279619449,RED,True
2026-06-08,H001,D001,183,15,0.08196721311475409,190.0,14.0,0.07368421052631578,0.07142857142857142,0.00828300258843831,1.0,-0.9285714285714286,35.00602462629245,YELLOW,True
2026-06-15,H001,D001,175,12,0.06857142857142857,183.0,15.0,0.08196721311475409,-0.2,-0.013395784543325517,0.07142857142857142,-0.27142857142857146,30.71514987819475,GREEN,False
2026-06-22,H001,D001,191,14,0.07329842931937172,175.0,12.0,0.06857142857142857,0.16666666666666666,0.004727000747943147,-0.2,0.3666666666666667,50.690655833413516,YELLOW,True
2026-06-29,H001,D001,184,14,0.07608695652173914,191.0,14.0,0.07329842931937172,0.0,0.0027885272023674135,0.16666666666666666,-0.16666666666666666,32.210883982208664,GREEN,False
2026-07-06,H001,D001,188,20,0.10638297872340426,184.0,14.0,0.07608695652173914,0.42857142857142855,0.03029602220166512,0.0,0.42857142857142855,65.4472585489931,ORANGE,True
2026-07-13,H001,D001,193,11,0.05699481865284974,188.0,20.0,0.10638297872340426,-0.45,-0.049388160070554514,0.42857142857142855,-0.8785714285714286,29.041699909690767,GREEN,False
2026-07-20,H001,D001,167,14,0.08383233532934131,193.0,11.0,0.05699481865284974,0.2727272727272727,0.02683751667649157,-0.45,0.7227272727272727,60.03560593651453,ORANGE,True
2026-07-27,H001,D001,186,14,0.07526881720430108,167.0,14.0,0.08383233532934131,0.0,-0.008563518125040234,0.2727272727272727,-0.2727272727272727,32.10663054404748,GREEN,False
2026-08-03,H001,D001,200,22,0.11,186.0,14.0,0.07526881720430108,0.5714285714285714,0.03473118279569892,0.0,0.5714285714285714,72.73162443635755,ORANGE,True
2026-08-10,H001,D001,188,18,0.09574468085106383,200.0,22.0,0.11,-0.18181818181818182,-0.014255319148936171,0.5714285714285714,-0.7532467532467533,35.728413564190674,YELLOW,True
2026-08-17,H001,D001,181,14,0.07734806629834254,188.0,18.0,0.09574468085106383,-0.2222222222222222,-0.01839661455272129,-0.18181818181818182,-0.04040404040404039,32.37240064448021,GREEN,False
2026-08-24,H001,D001,158,20,0.12658227848101267,181.0,14.0,0.07734806629834254,0.42857142857142855,0.04923421218267013,-0.2222222222222222,0.6507936507936507,71.21365481174038,ORANGE,True
2026-06-01,H001,D002,147,10,0.06802721088435375,0.0,0.0,0.0,1.0,0.06802721088435375,0.0,1.0,74.99273524853389,ORANGE,True
2026-06-08,H001,D002,138,10,0.07246376811594203,147.0,10.0,0.06802721088435375,0.0,0.004436557231588284,1.0,-1.0,30.54204426534673,GREEN,False
2026-06-15,H001,D002,127,9,0.07086614173228346,138.0,10.0,0.07246376811594203,-0.1,-0.001597626383658568,0.0,-0.1,29.964045490600682,GREEN,False
2026-06-22,H001,D002,128,13,0.1015625,127.0,9.0,0.07086614173228346,0.4444444444444444,0.030696358267716536,-0.1,0.5444444444444444,66.4751876334581,ORANGE,True
2026-06-29,H001,D002,127,13,0.10236220472440945,128.0,13.0,0.1015625,0.0,0.0007997047244094474,0.4444444444444444,-0.4444444444444444,35.47585651422273,YELLOW,True
2026-07-06,H001,D002,146,16,0.1095890410958904,127.0,13.0,0.10236220472440945,0.23076923076923078,0.0072268363714809575,0.0,0.23076923076923078,52.24151569398665,YELLOW,True
2026-07-13,H001,D002,125,13,0.104,146.0,16.0,0.1095890410958904,-0.1875,-0.00558904109589041,0.23076923076923078,-0.4182692307692308,35.70546773351545,YELLOW,True
2026-07-20,H001,D002,133,16,0.12030075187969924,125.0,13.0,0.104,0.23076923076923078,0.016300751879699246,-0.1875,0.4182692307692308,61.280915047851586,ORANGE,True
2026-07-27,H001,D002,147,16,0.10884353741496598,133.0,16.0,0.12030075187969924,0.0,-0.011457214464733259,0.23076923076923078,-0.23076923076923078,37.13559239139103,YELLOW,True
2026-08-03,H001,D002,155,11,0.07096774193548387,147.0,16.0,0.10884353741496598,-0.3125,-0.03787579547948211,0.0,-0.3125,30.697878112289573,GREEN,False
2026-08-10,H001,D002,138,7,0.050724637681159424,155.0,11.0,0.07096774193548387,-0.36363636363636365,-0.02024310425432445,-0.3125,-0.051136363636363646,26.73769643925977,GREEN,False
2026-08-17,H001,D002,110,5,0.045454545454545456,138.0,7.0,0.050724637681159424,-0.2857142857142857,-0.005270092226613968,-0.36363636363636365,0.07792207792207795,28.118104213018036,GREEN,False
2026-08-24,H001,D002,108,9,0.08333333333333333,110.0,5.0,0.045454545454545456,0.8,0.03787878787878787,-0.2857142857142857,1.0857142857142859,71.56419602064199,ORANGE,True
2026-06-01,H001,D003,43,3,0.06976744186046512,0.0,0.0,0.0,1.0,0.06976744186046512,0.0,1.0,70.90660343593298,ORANGE,True
2026-06-08,H001,D003,37,3,0.08108108108108109,43.0,3.0,0.06976744186046512,0.0,0.01131363922061597,1.0,-1.0,27.355842492720758,GREEN,False
2026-06-15,H001,D003,35,5,0.14285714285714285,37.0,3.0,0.08108108108108109,0.6666666666666666,0.061776061776061764,0.0,0.6666666666666666,74.6376175658311,ORANGE,True
2026-06-22,H001,D003,40,2,0.05,35.0,5.0,0.14285714285714285,-0.6,-0.09285714285714285,0.6666666666666666,-1.2666666666666666,22.191692862514266,GREEN,False
2026-06-29,H001,D003,37,1,0.02702702702702703,40.0,2.0,0.05,-0.5,-0.022972972972972974,-0.6,0.09999999999999998,21.8963830332613,GREEN,False
2026-07-06,H001,D003,32,2,0.0625,37.0,1.0,0.02702702702702703,1.0,0.03547297297297297,-0.5,1.5,68.59350340816906,ORANGE,True
2026-07-13,H001,D003,48,3,0.0625,32.0,2.0,0.0625,0.5,0.0,1.0,-0.5,37.524382436545196,YELLOW,True
2026-07-20,H001,D003,42,2,0.047619047619047616,48.0,3.0,0.0625,-0.3333333333333333,-0.014880952380952384,0.5,-0.8333333333333333,21.94742129001969,GREEN,False
2026-07-27,H001,D003,33,3,0.09090909090909091,42.0,2.0,0.047619047619047616,0.5,0.043290043290043295,-0.3333333333333333,0.8333333333333333,61.173150483798864,ORANGE,True
2026-08-03,H001,D003,33,1,0.030303030303030304,33.0,3.0,0.09090909090909091,-0.6666666666666666,-0.06060606060606061,0.5,-1.1666666666666665,18.067089877738255,GREEN,False
2026-08-10,H001,D003,37,2,0.05405405405405406,33.0,1.0,0.030303030303030304,1.0,0.023751023751023753,-0.6666666666666666,1.6666666666666665,67.62611276299103,ORANGE,True
2026-08-17,H001,D003,44,0,0.0,37.0,2.0,0.05405405405405406,-1.0,-0.05405405405405406,1.0,-2.0,13.778644146296765,GREEN,False
