week,symptom_id,symptom_name,hospitals_observed,hospitals_increasing,hospitals_orange_red,average_growth_rate,spread_proportion,cross_hospital_alert,potential_outbreak_signal,average_baseline_z,max_baseline_z,average_deviation_percent,baseline_red_hospitals,baseline_orange_hospitals,baseline_yellow_hospitals,anomaly_score,anomaly_alert,potential_outbreak
2026-06-01,S001,Fever,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S002,Headache,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S003,Fatigue,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S004,Chills,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S005,Sweating,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S006,Dry Cough,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S007,Persistent Cough,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S008,Sore Throat,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S009,Runny Nose,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S010,Breathlessness,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S012,Loss of Taste,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S013,Loss of Smell,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S014,Muscle Pain,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S015,Joint Pain,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S016,Retro-orbital Pain,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S017,Rash,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S018,Nausea,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S019,Vomiting,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S020,Diarrhoea,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S021,Abdominal Pain,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S022,Loss of Appetite,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S023,Weight Loss,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S024,Night Sweats,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S025,Bleeding,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S026,Anaemia,10,0,0,,1.0,GREEN,False,,,,0,0,0,30.0,GREEN,False
2026-06-01,S011,Chest Pain,9,0,0,,0.9,GREEN,False,,,,0,0,0,27.0,GREEN,False
2026-06-01,S027,Dehydration,9,0,0,,0.9,GREEN,False,,,,0,0,0,27.0,GREEN,False
2026-06-08,S027,Dehydration,9,6,5,211.25,0.9,RED,True,,,,0,0,0,54.5,YELLOW,True
2026-06-08,S026,Anaemia,10,6,6,59.16666666666667,1.0,RED,True,,,,0,0,0,50.83,YELLOW,True
2026-06-08,S025,Bleeding,10,5,4,53.333333333333336,1.0,ORANGE,True,,,,0,0,0,46.67,YELLOW,True
2026-06-08,S023,Weight Loss,10,3,3,45.76190476190476,1.0,ORANGE,True,,,,0,0,0,43.65,YELLOW,True
2026-06-08,S010,Breathlessness,10,2,2,13.274531024531026,1.0,YELLOW,False,,,,0,0,0,35.65,YELLOW,True
2026-06-08,S012,Loss of Taste,10,3,2,7.454150372443546,1.0,ORANGE,False,,,,0,0,0,34.49,GREEN,False
2026-06-08,S024,Night Sweats,10,2,2,7.425282234105765,1.0,YELLOW,False,,,,0,0,0,34.49,GREEN,False
2026-06-08,S013,Loss of Smell,10,3,2,4.863604626926266,1.0,ORANGE,False,,,,0,0,0,33.97,GREEN,False
2026-06-08,S022,Loss of Appetite,10,2,1,9.025441585541737,1.0,YELLOW,False,,,,0,0,0,33.31,GREEN,False
